Time (hour), Canopy assimilation rate (umol.m-1.s-1),Sunlit leaves assimilation rate (umol.m-1.s-1), Shaded leaves assimilation rate (umol.m-1.s-1), LAI at sunlit leaves (m2.m-2),LAI at shaded leaves (m2.m-2), Average stomatal conductance (mol.m-2.s-1)
0.0,2.0490486490526092E-5,2.0490484550302794E-5,1.9402232980416146E-12,2.8406694476561445E-7,2.9999997159330554,0.0
1.0,2.0490486490526092E-5,2.0490484550302794E-5,1.9402232980416146E-12,2.8406694476561445E-7,2.9999997159330554,0.0
2.0,2.0490486490526092E-5,2.0490484550302794E-5,1.9402232980416146E-12,2.8406694476561445E-7,2.9999997159330554,0.0
3.0,2.0490486490526092E-5,2.0490484550302794E-5,1.9402232980416146E-12,2.8406694476561445E-7,2.9999997159330554,0.0
4.0,2.0490486490526092E-5,2.0490484550302794E-5,1.9402232980416146E-12,2.8406694476561445E-7,2.9999997159330554,0.0
5.0,1.475331277036853,1.4652596505089064,0.010071626527946478,0.020475219262005236,2.9795247807379948,0.0
6.0,11.720188549978257,9.653452391994668,2.06673615798359,0.1921252940545626,2.807874705945437,0.0
7.0,23.441747522581025,13.109837913450642,10.331909609130383,0.3761439015041385,2.6238560984958617,0.0
8.0,38.15030724364011,14.603183323698799,23.547123919941306,0.5577317218861555,2.4422682781138443,0.0
9.0,52.82707178071162,15.050214984234461,37.776856796477155,0.7197758721729411,2.2802241278270587,0.0
10.0,64.87335129162912,14.99089324125702,49.8824580503721,0.8502191843328784,2.1497808156671216,0.0
11.0,71.40262028892765,14.764771806923928,56.637848482003726,0.9439641413667288,2.056035858633271,0.0
12.0,74.56430023522228,14.565988658253875,59.998311576968405,0.9999718596161401,2.00002814038386,0.0
13.0,75.60382797942911,14.490264117541212,61.113563861887904,1.0185593976981318,1.9814406023018682,0.0
14.0,74.56430023522228,14.565988658253875,59.998311576968405,0.9999718596161401,2.00002814038386,0.0
15.0,71.40262028892765,14.764771806923928,56.637848482003726,0.9439641413667288,2.056035858633271,0.0
16.0,64.87335129162912,14.99089324125702,49.8824580503721,0.8502191843328784,2.1497808156671216,0.0
17.0,52.82707178071162,15.050214984234461,37.776856796477155,0.7197758721729411,2.2802241278270587,0.0
18.0,38.15030724364011,14.603183323698799,23.547123919941306,0.5577317218861555,2.4422682781138443,0.0
19.0,23.441747522581025,13.109837913450642,10.331909609130383,0.3761439015041385,2.6238560984958617,0.0
20.0,11.720188549978257,9.653452391994668,2.06673615798359,0.1921252940545626,2.807874705945437,0.0
21.0,1.475331277036853,1.4652596505089064,0.010071626527946478,0.020475219262005236,2.9795247807379948,0.0
22.0,2.0490486490526092E-5,2.0490484550302794E-5,1.9402232980416146E-12,2.8406694476561445E-7,2.9999997159330554,0.0
23.0,2.0490486490526092E-5,2.0490484550302794E-5,1.9402232980416146E-12,2.8406694476561445E-7,2.9999997159330554,0.0
