Time (day), Net assimilation rate (mol.m-1.day-1), Elapsed assimilation rate (mol.m-2), Canopy conductance (mol.m-2.day-1), Evapo/Transpiration (mol.m-2.day-1), Cumulative evapo/transpiration (mol.m-2), leaf area index (m2.m-2),Air temperature (oC), Daily mean temperature (oC), Daily highest temperature (oC), Daily lowest temperature (oC), Elapsed thermal time (days), Elapased thermal time (hours), Relative Humidity, Leaf biomass (g.m-2), Stem biomass (g.m-2), Standing dead (g.m-2), Surface litter dead (g.m-2), Seed (g.m-2), Pod (g.m-2), Structual root (g.m-2), Fine root (g.m-2), Storage (g.m-2), Root dead material (g.m-2)
135.0,3.0870880956495545E-5,3.0870880956495545E-5,0.0,0.0,0.0,0.34588612912465,8.899999999999999,13.830299426742805,20.851712607207553,6.808886246278057,0.0,0.0,96.95,7.578365089121082,81.90130083904438,0.0,0.0,0.0,0.0,32.42616409402421,0.0,0.0,0.0
136.0,0.11987879124420073,0.11990966212515722,0.0,-3.7763711326574603,-3.7763711326574603,0.7540787962619152,10.05,14.079372363011583,21.167204993148005,6.991539732875161,0.0,0.0,89.75,16.521866426098562,71.8669746081606,0.0,0.0,0.0,0.0,29.92140344551608,0.0,0.0,0.0
137.0,0.2247789841621021,0.3446886462872593,0.0,-4.059827768842665,-7.836198901500126,1.2153730987484999,11.8,14.327236493209135,21.48116622473157,7.173306761686699,0.0,0.0,96.4,26.62882459357963,62.803058561684324,0.0,0.0,0.0,0.0,27.494183508105873,0.0,0.0,0.0
138.0,0.23265062219613364,0.5773392684833929,0.0,-4.0532762766809505,-11.889475178181076,1.651237482159645,11.2,14.573818369844336,21.793503268469493,7.35413347121918,0.0,0.0,96.25,36.17861323411782,54.80004097406089,0.0,0.0,0.0,0.0,25.247433690798708,0.0,0.0,0.0
139.0,0.4524513879595377,1.0297906564429307,0.0,-4.380199461160578,-16.269674639341655,2.243603025375655,12.149999999999999,14.819044925385466,22.104123572154926,7.533966278616008,0.0,0.0,91.5,49.157342285980604,47.28429987662925,0.0,0.0,0.0,0.0,22.921094983740815,0.0,0.0,0.0
140.0,0.42038421457878394,1.4501748710217146,0.0,-4.265362299884152,-20.535036939225808,2.6369101121003973,16.549999999999997,15.0628434939117,22.41293509228815,7.712751895535247,17.366666666666664,416.79999999999995,89.1,60.950867253907575,40.73114886322899,0.0,0.0,0.0,0.0,20.808441270004888,0.0,0.0,0.0
141.0,0.5204623937861885,1.9706372648079031,0.0,-4.274361370115083,-24.809398309340892,3.0315476878223073,14.25,15.305141832645575,22.71984632135106,7.890437343940088,36.68541666666667,880.45,89.30000000000001,74.0687558001529,34.74703420727622,0.0,0.0,0.0,0.0,18.739741185987732,0.0,0.0,0.0
142.0,0.23501236351591762,2.2056496283238207,0.0,-4.617376158855536,-29.426774468196427,3.209555768445915,12.2,15.545868143360096,23.024766314922786,8.066969971797404,50.70625,1216.9499999999998,96.4,81.44240616243758,30.079627494153613,0.0,0.0,0.0,0.0,17.154320560107255,0.0,0.0,0.0
143.0,0.5212196246701657,2.7268692529939864,0.0,-4.706120753486414,-34.132895221682844,3.5700916930361806,9.899999999999999,15.784951093654108,23.327604718628535,8.24229746867968,63.90833333333333,1533.8,98.25,93.7193619080235,25.363575336005955,0.0,0.0,0.0,0.0,15.357446889887678,0.0,0.0,0.0
144.0,0.6580456672151417,3.384914920209128,0.0,-4.515140277424218,-38.64803549910706,4.006867000866262,10.399999999999999,16.022319838089594,23.628271794913488,8.416367881265701,75.12291666666667,1802.95,94.30000000000001,108.13411920169786,20.921235214453038,0.0,0.0,0.0,0.0,13.534719984898638,0.0,0.0,0.0
