date	time	Temperature	Relative_humidity	Predicted_PAR
2015/1/1	0	5.2	100	0
2015/1/1	1	5.4	75.9	0
2015/1/1	2	5.7	77.2	0
2015/1/1	3	6	77.9	0
2015/1/1	4	6.3	75.2	0
2015/1/1	5	6.5	73.8	0
2015/1/1	6	6.7	74.9	0
2015/1/1	7	6.9	96.5	0
2015/1/1	8	6.9	100	0
2015/1/1	9	6.8	100	4.29
2015/1/1	10	6.9	100	17.84
2015/1/1	11	7.1	100	33.42
2015/1/1	12	7.2	100	43.36
2015/1/1	13	7.3	100	36.58
2015/1/1	14	7.3	92.8	21.91
2015/1/1	15	7.3	86.6	2.48
2015/1/1	16	7.3	87	0
2015/1/1	17	7.4	79.1	0
2015/1/1	18	7.7	76.1	0
2015/1/1	19	7.9	80.5	0
2015/1/1	20	7.8	100	0
2015/1/1	21	7.8	100	0
2015/1/1	22	7.7	100	0
2015/1/1	23	7.7	100	0
2015/1/2	0	7.9	100	0
2015/1/2	1	8.3	100	0
2015/1/2	2	8.7	100	0
2015/1/2	3	9	100	0
2015/1/2	4	9.5	100	0
2015/1/2	5	10.1	98.5	0
2015/1/2	6	9.9	97.7	0
2015/1/2	7	9	100	0
2015/1/2	8	7.8	100	0
2015/1/2	9	6.6	100	17.84
2015/1/2	10	5.4	100	89.66
2015/1/2	11	4.2	60	164.41
2015/1/2	12	5.3	60	284.1
2015/1/2	13	4.2	60	149.28
2015/1/2	14	3.8	60	88.98
2015/1/2	15	4.2	60	29.13
2015/1/2	16	4.1	60	0
2015/1/2	17	4.4	60	0
2015/1/2	18	4.9	60	0
2015/1/2	19	4.1	60	0
2015/1/2	20	4.2	60	0
2015/1/2	21	4	60	0
2015/1/2	22	4.4	60	0
2015/1/2	23	4.3	60	0
2015/1/3	0	4.8	60	0
2015/1/3	1	4.3	60	0
2015/1/3	2	3.1	60	0
2015/1/3	3	3.8	60	0
2015/1/3	4	3.5	60	0
2015/1/3	5	2.1	60	0
2015/1/3	6	2.6	60	0
2015/1/3	7	2.8	60	0
2015/1/3	8	2.7	60	0
2015/1/3	9	2.7	60	32.52
2015/1/3	10	3.5	60	140.24
2015/1/3	11	4.4	60	246.16
2015/1/3	12	4.4	60	223.35
2015/1/3	13	4.5	60	183.15
2015/1/3	14	4.1	60	167.34
2015/1/3	15	3.7	60	36.58
2015/1/3	16	2.9	60	0
2015/1/3	17	2.8	60	0
2015/1/3	18	2.6	60	0
2015/1/3	19	2.7	60	0
2015/1/3	20	2.8	60	0
2015/1/3	21	2.5	60	0
2015/1/3	22	2.4	60	0
2015/1/3	23	2.2	60	0
2015/1/4	0	1.9	60	0
2015/1/4	1	1.6	60	0
2015/1/4	2	1.6	60	0
2015/1/4	3	2.2	60	0
2015/1/4	4	2.7	60	0
2015/1/4	5	2.5	60	0
2015/1/4	6	2.3	60	0
2015/1/4	7	2.1	60	0
2015/1/4	8	2.2	60	0
2015/1/4	9	2.4	60	47.2
2015/1/4	10	2.4	60	174.12
2015/1/4	11	3.1	60	313.91
2015/1/4	12	3.8	60	367.88
2015/1/4	13	4	60	332.43
2015/1/4	14	3.9	60	210.48
2015/1/4	15	3.5	60	76.56
2015/1/4	16	3.2	60	0
2015/1/4	17	2.8	60	0
2015/1/4	18	3.4	60	0
2015/1/4	19	3.4	60	0
2015/1/4	20	3.4	60	0
2015/1/4	21	3.3	60	0
2015/1/4	22	3.5	60	0
2015/1/4	23	3.9	60	0
2015/1/5	0	4.8	60	0
2015/1/5	1	5.4	60	0
2015/1/5	2	5.6	60	0
2015/1/5	3	5.7	60	0
2015/1/5	4	5.6	60	0
2015/1/5	5	5.4	60	0
2015/1/5	6	4.6	60	0
2015/1/5	7	3.6	60	0
2015/1/5	8	3.6	60	0
2015/1/5	9	3.9	60	2.71
2015/1/5	10	4.8	60	28.23
2015/1/5	11	5.3	60	116.08
2015/1/5	12	5.6	60	172.08
2015/1/5	13	5.8	60	136.4
2015/1/5	14	5.8	60	75.43
2015/1/5	15	5.6	60	25.07
2015/1/5	16	5.2	60	0
2015/1/5	17	4.9	60	0
2015/1/5	18	4.8	60	0
2015/1/5	19	4.7	60	0
2015/1/5	20	4.4	60	0
2015/1/5	21	4.2	60	0
2015/1/5	22	4	60	0
2015/1/5	23	4	60	0
2015/1/6	0	4	60	0
2015/1/6	1	3.9	60	0
2015/1/6	2	4	60	0
2015/1/6	3	4	60	0
2015/1/6	4	4	60	0
2015/1/6	5	4	60	0
2015/1/6	6	4.1	60	0
2015/1/6	7	4.2	60	0
2015/1/6	8	4.3	60	0
2015/1/6	9	4.4	60	5.42
2015/1/6	10	4.4	60	21.45
2015/1/6	11	4.3	60	38.17
2015/1/6	12	4.3	60	74.07
2015/1/6	13	4.3	60	48.33
2015/1/6	14	4.3	60	30.49
2015/1/6	15	4.1	60	6.55
2015/1/6	16	3.7	60	0
2015/1/6	17	3.6	60	0
2015/1/6	18	3.3	60	0
2015/1/6	19	3	60	0
2015/1/6	20	2.8	60	0
2015/1/6	21	2.6	60	0
2015/1/6	22	2.4	60	0
2015/1/6	23	2.2	60	0
2015/1/7	0	2.1	60	0
2015/1/7	1	1.6	60	0
2015/1/7	2	1.8	60	0
2015/1/7	3	2	60	0
2015/1/7	4	2.4	60	0
2015/1/7	5	2.8	60	0
2015/1/7	6	3.1	60	0
2015/1/7	7	3.2	60	0
2015/1/7	8	3	60	0
2015/1/7	9	3.1	60	40.2
2015/1/7	10	3.7	60	187.22
2015/1/7	11	4.6	60	327.23
2015/1/7	12	5.2	60	338.98
2015/1/7	13	5.4	60	279.13
2015/1/7	14	5	60	97.11
2015/1/7	15	4.7	60	26.42
2015/1/7	16	4.3	60	0
2015/1/7	17	4.1	60	0
2015/1/7	18	4.1	60	0
2015/1/7	19	4.5	60	0
2015/1/7	20	5.1	60	0
2015/1/7	21	5.7	60	0
2015/1/7	22	6	60	0
2015/1/7	23	5.7	60	0
2015/1/8	0	5.6	60	0
2015/1/8	1	5.6	60	0
2015/1/8	2	5.7	60	0
2015/1/8	3	5.8	60	0
2015/1/8	4	5.8	60	0
2015/1/8	5	6.1	60	0
2015/1/8	6	6.8	60	0
2015/1/8	7	7.2	60	0
2015/1/8	8	7.6	60	0
2015/1/8	9	7.4	60	19.2
2015/1/8	10	7.2	60	87.4
2015/1/8	11	7.4	60	216.57
2015/1/8	12	7.5	60	169.15
2015/1/8	13	7.5	60	145.89
2015/1/8	14	7.3	60	96.2
2015/1/8	15	6.8	60	20.55
2015/1/8	16	6.4	60	0
2015/1/8	17	6	60	0
2015/1/8	18	5.7	60	0
2015/1/8	19	5.1	60	0
2015/1/8	20	4.4	60	0
2015/1/8	21	4.4	60	0
2015/1/8	22	4	60	0
2015/1/8	23	3.6	60	0
2015/1/9	0	3.6	60	0
2015/1/9	1	3.4	60	0
2015/1/9	2	3.3	60	0
2015/1/9	3	3.1	60	0
2015/1/9	4	3.2	60	0
2015/1/9	5	3.7	60	0
2015/1/9	6	2.9	60	0
2015/1/9	7	1.6	60	0
2015/1/9	8	2.4	60	0
2015/1/9	9	5	60	25.74
2015/1/9	10	6	60	147.69
2015/1/9	11	4.6	60	62.56
2015/1/9	12	5.6	60	103.21
2015/1/9	13	5.6	60	70.46
2015/1/9	14	5.7	60	52.62
2015/1/9	15	5.7	60	12.19
2015/1/9	16	5.7	60	1.81
2015/1/9	17	6.1	60	1.58
2015/1/9	18	6.2	60	0
2015/1/9	19	6.4	60	0
2015/1/9	20	6.5	60	0
2015/1/9	21	6.1	60	0
2015/1/9	22	5.5	60	0
2015/1/9	23	5.2	60	0
2015/1/10	0	5.5	60	0
2015/1/10	1	5.3	60	0
2015/1/10	2	5.2	60	0
2015/1/10	3	4.5	60	0
2015/1/10	4	3.7	60	0
2015/1/10	5	3.7	60	0
2015/1/10	6	4.4	60	0
2015/1/10	7	7.6	60	0
2015/1/10	8	9.7	60	0
2015/1/10	9	10.2	60	5.87
2015/1/10	10	10.2	60	11.97
2015/1/10	11	10	60	40.65
2015/1/10	12	7.3	60	99.82
2015/1/10	13	6.3	60	108.85
2015/1/10	14	5.4	60	93.27
2015/1/10	15	5.3	60	44.49
2015/1/10	16	5.2	60	3.61
2015/1/10	17	3.8	60	0
2015/1/10	18	4.3	60	0
2015/1/10	19	4.4	60	0
2015/1/10	20	3.3	60	1.13
2015/1/10	21	4.1	60	0
2015/1/10	22	2.8	60	0
2015/1/10	23	2.9	60	0
2015/1/11	0	3.5	60	0
2015/1/11	1	3.6	60	0
2015/1/11	2	2.6	60	0
2015/1/11	3	2.9	60	0
2015/1/11	4	3.3	60	0
2015/1/11	5	2.4	60	0
2015/1/11	6	1.7	60	0
2015/1/11	7	2	60	0
2015/1/11	8	2.2	60	0
2015/1/11	9	2.2	60	21
2015/1/11	10	2.5	60	109.08
2015/1/11	11	3.4	60	305.55
2015/1/11	12	3.5	60	310.29
2015/1/11	13	3.4	60	127.82
2015/1/11	14	3.9	60	144.31
2015/1/11	15	3.9	60	71.14
2015/1/11	16	4.1	60	1.81
2015/1/11	17	4.3	60	0
2015/1/11	18	4.1	60	0
2015/1/11	19	3.3	60	0
2015/1/11	20	3.3	60	0
2015/1/11	21	3.5	60	0
2015/1/11	22	3.5	60	0
2015/1/11	23	3.4	60	0
2015/1/12	0	3.7	60	0
2015/1/12	1	4.2	60	0
2015/1/12	2	4.6	60	0
2015/1/12	3	5.7	60	0
2015/1/12	4	5.9	60	0
