Time (hour), Direct sunlight (micro mol.m-2.s-1),Diffuse sunlight (micro mol.m-2.s-1),Light at sunlit leaves(micro mol.m-2.s-1),Light at shaded leaves(micro mol.m-2.s-1), Light scattered by leaves(micro mol.m-2.s-1),Solar zenith angle (degree),LAI at sunlit leaves (m2.m-2),LAI at shaded leaves (m2.m-2), Air temperature (oC)
5.0,0.0021584284658649555,21.293148818252515,7.241335414506842,7.23960867173415,1.1890821703768461E-4,89.06145596631313,0.020475219262005236,2.9795247807379948,17.123627197124016
5.1,0.30837212030571043,38.04952514478547,13.19998184082115,12.953284144576582,0.01676873562788569,88.31599228806476,0.03673433769705607,2.963265662302944,17.306186460527613
5.199999999999999,2.465412109673136,54.12185076406177,20.505607007053925,18.533277319315417,0.13230769601752396,87.55959597978364,0.05322553540278686,2.946774464597213,17.49333850953969
5.299999999999999,8.040909112335656,68.71456789827836,30.220885768129882,23.78815847826136,0.42578895977728515,86.79263779460683,0.06993752159081364,2.9300624784091864,17.68495507949431
5.399999999999999,17.554224027103043,81.55609646764401,42.688806843476925,28.64542762179449,0.9170474479890003,86.01548489078071,0.08685885430884177,2.9131411456911582,17.88090484596589
5.499999999999998,30.84662782582775,92.71375229252432,57.78872560654318,33.11142334588098,1.5895349493824187,85.22850081004152,0.10397794827442915,2.896022051725571,18.0810535147724
5.599999999999998,47.505972694748934,102.38141977197273,75.22793001952272,37.22315186372357,2.414338628069268,84.43204549235331,0.12128308280487027,2.87871691719513,18.285263914013886
5.6999999999999975,67.07483347896347,110.77548950710657,94.68411965135252,41.02425286818173,3.3615272102529388,83.6264753255667,0.13876240979586993,2.86123759020413,18.493396088083248
5.799999999999997,89.12962981982416,118.0953056687153,115.85933318920038,44.55562933334106,4.404228344905536,82.81214322865848,0.15640396136369158,2.8435960386363086,18.70530739358481
5.899999999999997,113.30310140427282,124.51193689381859,138.49508791943805,47.85260679601977,5.519605685080067,81.98939876732385,0.17419565537415904,2.825804344625841,18.92085259709499
5.9999999999999964,139.2848568047612,130.16791046601594,162.37255469542885,50.944669251619885,6.6886851601852175,81.15858830081885,0.19212529405456177,2.807874705945438,19.13988397469802
6.099999999999996,166.81461962774995,135.18059791474582,187.30778276401728,53.856087061817306,7.895831808679979,80.32005515908924,0.2101805475488064,2.7898194524511934,19.362251413228556
6.199999999999996,195.67393992458992,139.64636805060894,213.14591377111128,56.60676183143934,9.128182658211426,79.47413984937107,0.22834891375468877,2.771651086245311,19.587802513151736
6.299999999999995,225.67845971161182,143.64446300736384,239.75580470251845,59.21303693322898,10.37513942901821,78.62118029160683,0.24661765002781916,2.753382349972181,19.81638269301019
6.399999999999995,256.6713442844091,147.24029144207233,267.0254702136031,61.68839478607583,11.627946152080016,77.7615120821889,0.26497368003596367,2.735026319964036,20.047835295366486
6.499999999999995,288.51792710718445,150.48811499689717,294.8583709332562,64.0440292475086,12.879348187413875,76.89546878571718,0.283403486753886,2.716596513246114,20.282001694168283
6.599999999999994,321.1014247851755,153.43319976244373,323.17044514700353,66.28930531886314,14.123320449977662,76.02338225464102,0.3018930072582466,2.6981069927417534,20.518721403462713
6.699999999999994,354.31953493072325,156.11352633124224,351.88775264401585,68.43212469943722,15.35485156016374,75.14558297684442,0.3204275454596298,2.67957245454037,20.757832187385443
6.799999999999994,388.0817404540213,158.5611466696922,380.94460776729454,70.47921540407748,16.569772136448165,74.26240045143145,0.338991715833312,2.661008284166688,20.999170171349014
6.899999999999993,422.30717103229557,160.80326242542426,410.2820979807586,72.43636115492212,17.764617571788104,73.37416359317022,0.35756942612554243,2.6424305738744573,21.24256995435433
6.999999999999993,456.92290147970726,162.8630848027418,439.84690454192935,74.30858335816352,18.936517660036753,72.48120116626522,0.3761439015041369,2.623856098495863,21.4878647223482
7.0999999999999925,491.86259232680817,164.7605233455252,469.5903596941354,76.10028583268884,20.083107144246224,71.5838422483427,0.39469774783870204,2.605302252161298,21.734886362549396
7.199999999999992,527.0653988863644,166.51274048297657,499.4676893630496,77.81537025395806,21.202452619701816,70.68241672575883,0.4132130483284517,2.5867869516715483,21.98346557866472
7.299999999999992,562.4750916603737,168.13460040457934,529.4374018441299,79.45732851583098,22.292992282074927,69.77725582156913,0.43167148567524255,2.5683285143247576,22.233432006916267
7.3999999999999915,598.0393438164648,169.63903439396353,559.4607918889018,81.02931683572987,23.35348582217412,68.86869265773643,0.450054481263156,2.549945518736844,22.484614332800206
7.499999999999991,633.7091513726615,171.03733979596896,589.5015364603488,82.53421536221958,24.382972387262825,67.95706285339847,0.46834334305212566,2.5316566569478742,22.73684040849722
7.599999999999991,669.4383593346245,172.33942598865292,619.5253636898417,83.97467622214208,25.380734999800136,67.04270516126807,0.4865194147923292,2.5134805852076707,22.989937370853994
7.69999999999999,705.1832728649505,173.5540178142621,649.499780603254,85.35316231129357,26.34627018331518,66.12596214449671,0.5045642204250415,2.4954357795749584,23.24373175985501
7.79999999999999,740.902337050385,174.68882468006277,679.3938482844559,86.6719786441479,27.279261819284333,65.2071808965967,0.522459598925139,2.4775404010748607,23.498049637503357
7.89999999999999,776.5558722928522,175.75068180993495,709.1779955344006,87.93329770011873,28.179558469051084,64.28671380728485,0.5401878261997138,2.459812173800286,23.75271670702915
7.999999999999989,812.1058550292905,176.74566878810094,738.8238639336053,89.1391799101727,29.04715355657806,63.364919377382805,0.5577317218861538,2.442268278113846,24.00755843234385
8.099999999999989,847.5157355690272,177.67920949453466,768.3041786536298,90.29159019840797,29.88216793283529,62.442163086179804,0.5750747399393712,2.424925260060629,24.26240015765855
